# x,y,velocity_x(pixel/s),velocity_y(pixel/s),pressure(Pa)
2.248631743599999872e-02,7.199999999999999734e-01,-1.501061381244775772e+10,-1.215559746228814888e+10,-1.006007904997557212e+01
2.248631743599999872e-02,6.999999999999999556e-01,-6.656741881064027786e+09,-6.797752361230533600e+09,-1.004297041010241109e+01
2.248631743599999872e-02,6.799999999999999378e-01,-2.563398836500975609e+09,-3.595286213529855728e+09,-1.002434331665422462e+01
2.248631743599999872e-02,6.599999999999999201e-01,-7.144771264351218939e+08,-1.809762552381953955e+09,-1.001221178758411590e+01
2.248631743599999872e-02,6.400000000000000133e-01,-2.128785949782064557e+07,-8.361119605986351967e+08,-1.000445570817844221e+01
2.248631743599999872e-02,6.199999999999999956e-01,1.162926239891945571e+08,-3.375871937465860844e+08,-9.998473062716463744e+00
2.248631743599999872e-02,5.999999999999999778e-01,8.087808107370999455e+07,-1.007420754520643651e+08,-9.993531671453004250e+00
2.248631743599999872e-02,5.800000000000000711e-01,0.000000000000000000e+00,0.000000000000000000e+00,-9.989452228752387697e+00
3.372947615399998766e-02,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-9.455154448626757357e+00
3.372947615399998766e-02,9.799999999999999822e-01,-7.314723982597862244e+10,-1.994597158611886978e+09,-9.268940673417565890e+00
3.372947615399998766e-02,9.599999999999999645e-01,-1.335918245255347748e+11,-6.507715643475957870e+09,-9.173111000835207918e+00
3.372947615399998766e-02,9.399999999999999467e-01,-1.806594107866842957e+11,-1.217456513059106445e+10,-9.132947416431603571e+00
3.372947615399998766e-02,9.200000000000000400e-01,-2.136526245131845398e+11,-1.842434900605637741e+10,-9.123397584713146102e+00
3.372947615399998766e-02,9.000000000000000222e-01,-2.322471420253550720e+11,-2.495202367458781433e+10,-9.135633209839888025e+00
3.372947615399998766e-02,8.800000000000000044e-01,-2.364568959207364502e+11,-3.149999627346441269e+10,-9.170358950043008051e+00
3.372947615399998766e-02,8.599999999999999867e-01,-2.266455424782434692e+11,-3.772736427537170410e+10,-9.236089532245607359e+00
3.372947615399998766e-02,8.399999999999999689e-01,-2.036873269188787231e+11,-4.302143752291114807e+10,-9.349236380237615052e+00
3.372947615399998766e-02,8.200000000000000622e-01,-1.694418583320791016e+11,-4.621197513253023529e+10,-9.528206049221594753e+00
3.372947615399998766e-02,8.000000000000000444e-01,-1.277506218286331177e+11,-4.548565859266563416e+10,-9.770935227703775539e+00
3.372947615399998766e-02,7.800000000000000266e-01,-8.528786492988484192e+10,-3.946035881663951874e+10,-1.002663363452903411e+01
3.372947615399998766e-02,7.600000000000000089e-01,-4.969364540682491302e+10,-2.931661133269984436e+10,-1.021478536320131347e+01
3.372947615399998766e-02,7.399999999999999911e-01,-2.521013385375345612e+10,-1.855937977235986710e+10,-1.028569654505797715e+01
3.372947615399998766e-02,7.199999999999999734e-01,-1.123458475798624229e+10,-1.012222773881465340e+10,-1.025390385713887476e+01
3.372947615399998766e-02,6.999999999999999556e-01,-4.421680056035556793e+09,-4.930075271015313148e+09,-1.017583922719019718e+01
