# x,y,velocity_x(pixel/s),velocity_y(pixel/s),pressure(Pa)
1.124315871800000005e-01,5.999999999999999778e-01,7.276402661858320223e-07,-2.044263743820855118e-07,1.023872167075619899e+01
1.124315871800000005e-01,5.500000000000000444e-01,7.115463191787357873e-07,-1.109794070397004852e-07,7.873835951359186680e+00
1.124315871800000005e-01,5.000000000000000000e-01,5.647666926891390825e-07,1.953531306169235670e-07,8.217395404203411857e+00
1.124315871800000005e-01,4.500000000000000111e-01,2.721283063141926690e-07,2.131249900270521026e-07,9.999952262292710614e+00
1.124315871800000005e-01,4.000000000000000222e-01,6.232617582024355623e-08,3.630641362523243038e-08,9.999991243416857856e+00
1.124315871800000005e-01,3.499999999999999778e-01,6.327389634670866675e-07,-3.689092111407106841e-07,1.000000446152727029e+01
1.124315871800000005e-01,2.999999999999999889e-01,5.083710103069236091e-07,-3.991701935286747725e-07,9.999873923277576182e+00
1.124315871800000005e-01,2.500000000000000000e-01,5.474203191078845286e-07,-3.598730093709141547e-07,6.460390931561070360e+00
1.124315871800000005e-01,2.000000000000000111e-01,5.235198163280191597e-07,-1.459532535238722768e-07,5.437165042474185306e+00
1.124315871800000005e-01,1.499999999999999944e-01,4.985348547454163998e-07,-5.723931999572179870e-08,4.996897211891859314e+00
1.124315871800000005e-01,9.999999999999997780e-02,4.812260407403662571e-07,-1.874755865180117846e-08,4.843742313082624484e+00
1.124315871800000005e-01,5.000000000000003747e-02,4.715464757632205544e-07,-4.586214642954244556e-09,4.801614555308219678e+00
1.124315871800000005e-01,0.000000000000000000e+00,4.684076247540411776e-07,0.000000000000000000e+00,4.794737954829235704e+00
1.405394839749999902e-01,1.000000000000000000e+00,9.200486986884932605e+01,0.000000000000000000e+00,4.883024478794538048e+00
1.405394839749999902e-01,9.499999999999999556e-01,8.697693812317589845e+01,1.812645207595332986e+00,4.945216008049038159e+00
1.405394839749999902e-01,9.000000000000000222e-01,7.177560518261904576e+01,3.051826486902508240e+00,5.118538876706220542e+00
1.405394839749999902e-01,8.499999999999999778e-01,4.598105831055262627e+01,2.118710831248076687e+00,5.518931890860481637e+00
1.405394839749999902e-01,8.000000000000000444e-01,9.835326312060535869e+00,-8.888341605108572852e-01,8.545998899075307742e-01
1.405394839749999902e-01,7.500000000000000000e-01,1.691292272272555862e-06,-2.152956662344799258e-06,4.990063554462161655e+00
1.405394839749999902e-01,6.999999999999999556e-01,-7.085092955325947228e-08,8.913484544615782708e-07,4.533052489000932717e+00
1.405394839749999902e-01,6.500000000000000222e-01,9.721397354770612511e-07,1.004366979185989999e-07,7.213604733099334254e+00
1.405394839749999902e-01,5.999999999999999778e-01,1.074271068710508713e-06,-1.593932177129130320e-07,6.637423296634034742e+00
1.405394839749999902e-01,5.500000000000000444e-01,9.685830925845147800e-07,-7.780310125555833140e-08,5.617133390051660236e+00
1.405394839749999902e-01,5.000000000000000000e-01,8.918324130233471174e-07,2.960810483835318382e-07,5.879130183259224651e+00
